iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 06, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"957,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","2,566,006,384.50","0.44","2,566,006,384.50","7,074,735.00","362.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","2,533,404,134.32","0.43","2,533,404,134.32","18,279,848.00","138.59","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","2,476,515,553.16","0.42","2,476,515,553.16","10,403,779.00","238.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,447,900,569.19","0.42","2,447,900,569.19","15,513,661.00","157.79","United States","NASDAQ","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","2,440,114,030.08","0.42","2,440,114,030.08","5,429,232.00","449.44","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,422,264,802.76","0.42","2,422,264,802.76","8,101,762.00","298.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,391,006,854.25","0.41","2,391,006,854.25","20,483,225.00","116.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","2,292,694,310.40","0.39","2,292,694,310.40","17,560,465.00","130.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,283,852,256.40","0.39","2,283,852,256.40","4,314,365.00","529.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","2,271,638,028.80","0.39","2,271,638,028.80","19,650,848.00","115.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","2,205,042,634.62","0.38","2,205,042,634.62","4,006,182.00","550.41","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","2,163,420,507.94","0.37","2,163,420,507.94","5,476,598.00","395.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","2,150,276,463.90","0.37","2,150,276,463.90","12,246,705.00","175.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","2,139,145,513.60","0.37","2,139,145,513.60","3,567,145.00","599.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","2,041,022,154.60","0.35","2,041,022,154.60","3,157,180.00","646.47","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,014,435,170.11","0.35","2,014,435,170.11","47,543,903.00","42.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","2,007,085,048.14","0.34","2,007,085,048.14","378,671.00","5,300.34","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","2,006,935,040.76","0.34","2,006,935,040.76","12,581,876.00","159.51","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,991,274,040.90","0.34","1,991,274,040.90","10,312,139.00","193.10","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,933,882,732.32","0.33","1,933,882,732.32","80,983,364.00","23.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","1,928,215,561.77","0.33","1,928,215,561.77","6,343,023.00","303.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,882,667,768.65","0.32","1,882,667,768.65","43,630,771.00","43.15","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1,868,801,552.24","0.32","1,868,801,552.24","3,616,312.00","516.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","1,828,533,041.28","0.31","1,828,533,041.28","14,069,968.00","129.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","1,772,699,930.46","0.30","1,772,699,930.46","15,024,154.00","117.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,759,750,637.48","0.30","1,759,750,637.48","6,435,836.00","273.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","1,745,923,885.20","0.30","1,745,923,885.20","23,204,730.00","75.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","1,736,316,885.82","0.30","1,736,316,885.82","22,744,523.00","76.34","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","1,683,886,143.84","0.29","1,683,886,143.84","6,614,889.00","254.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
